"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.213309100E-2,3.367129862E-1,1.782680005E-1,-9.437509775E-1,1.017752928E0
4.707401400E-2,2.392729968E-1,-3.290239871E-1,-3.392899930E-1,5.297414940E-1
5.201193700E-2,1.731050014E-1,-2.995780110E-1,-2.091410011E-1,4.042923256E-1
5.695288800E-2,1.126279980E-1,-1.962019950E-1,-1.270000041E-1,2.594403396E-1
6.189373400E-2,6.666199863E-2,-1.077129990E-1,-6.682799757E-2,1.432197384E-1
6.683465700E-2,4.135699943E-2,-7.129099965E-2,-3.579099849E-2,8.985434662E-2
7.177556500E-2,1.498499978E-2,-2.672100067E-2,-3.888000036E-3,3.088168777E-2
7.671625800E-2,-4.521999974E-3,1.802200079E-2,3.591300175E-2,4.043494393E-2
8.165715200E-2,-1.200000010E-2,2.668399923E-2,4.378100112E-2,5.265749592E-2
8.659807500E-2,-2.209899947E-2,5.540699884E-2,6.573700160E-2,8.876741901E-2
9.153890600E-2,-3.162600100E-2,8.412700146E-2,8.947200328E-2,1.268179628E-1
9.647982900E-2,-3.712699935E-2,1.068670005E-1,1.087320000E-1,1.569127710E-1
1.014205210E-1,-4.367399961E-2,1.238910034E-1,1.271419972E-1,1.828154436E-1
1.063614340E-1,-4.631299898E-2,1.361240000E-1,1.330499947E-1,1.959003275E-1
1.113023580E-1,-8.581300080E-2,2.107120007E-1,2.110919952E-1,3.103598698E-1
1.162431940E-1,-1.942200065E-1,3.220520020E-1,2.472749949E-1,4.500931303E-1
1.211841170E-1,-2.229579985E-1,3.563550115E-1,2.243189961E-1,4.764642435E-1
1.261248090E-1,-2.521690130E-1,3.788020015E-1,1.594409943E-1,4.821841952E-1
1.310657800E-1,-3.094080091E-1,3.352189958E-1,5.229900032E-2,4.591734712E-1
1.360067030E-1,-3.933939934E-1,2.112040073E-1,1.312499959E-2,4.466970252E-1
1.409475530E-1,-4.915420115E-1,8.956900239E-2,-6.839200109E-2,5.042951726E-1
1.458882460E-1,-5.355569720E-1,1.087700017E-2,-1.373499930E-1,5.529960217E-1
1.508291790E-1,-5.664119720E-1,-1.334310025E-1,-1.532090008E-1,6.017469173E-1
1.557701020E-1,-5.822749734E-1,-2.223410010E-1,-1.820120066E-1,6.493135113E-1
1.607109480E-1,-6.521530151E-1,-3.227789998E-1,-2.250829935E-1,7.616772229E-1
1.656518900E-1,-6.669600010E-1,-4.081780016E-1,-2.408989966E-1,8.182158948E-1
1.705928130E-1,-6.680150032E-1,-5.054159760E-1,-2.571269870E-1,8.762440532E-1
1.755335060E-1,-6.405990124E-1,-4.934509993E-1,-1.904100031E-1,8.307327805E-1
1.804744430E-1,-5.857449770E-1,-4.117709994E-1,-1.375389993E-1,7.290881362E-1
1.854153660E-1,-4.757019877E-1,-3.289560080E-1,-8.433499932E-2,5.844799641E-1
1.903562360E-1,-3.515979946E-1,-2.309149951E-1,-1.760900021E-2,4.210142060E-1
1.952971590E-1,-2.537440062E-1,-1.740259975E-1,7.788900286E-2,3.173921317E-1
2.002378510E-1,-1.974509954E-1,-1.301939934E-1,2.554990053E-1,3.481624811E-1
2.051787590E-1,-1.553899944E-1,-5.927700177E-2,4.476909935E-1,4.775845883E-1
2.101196830E-1,-1.820279956E-1,-4.359700158E-2,6.004089713E-1,6.289084373E-1
2.150605290E-1,-2.096689939E-1,-6.974100322E-2,7.000480294E-1,7.340927312E-1
2.200014770E-1,-2.374189943E-1,-1.262619942E-1,8.027960062E-1,8.466352802E-1
2.249421690E-1,-2.662830055E-1,-1.711920053E-1,8.939229846E-1,9.483204332E-1
2.298830830E-1,-2.684249878E-1,-2.052000016E-1,9.194819927E-1,9.795948906E-1
2.348240060E-1,-2.572300136E-1,-2.143349946E-1,8.792179823E-1,9.408140253E-1
2.397648520E-1,-2.589409947E-1,-1.319410056E-1,8.831959963E-1,9.297817139E-1
2.447057710E-1,-2.201859951E-1,2.951099910E-2,8.758350015E-1,9.035705403E-1
2.496464630E-1,-2.090979964E-1,1.741719991E-1,8.710219860E-1,9.125443318E-1
2.545873860E-1,-2.670220137E-1,2.612310052E-1,8.821859956E-1,9.580159313E-1
2.595282220E-1,-3.386609852E-1,3.164730072E-1,9.103599787E-1,1.021568264E0
2.644691450E-1,-3.712570071E-1,3.133499920E-1,1.022822022E0,1.132336025E0
2.694100870E-1,-3.236790001E-1,2.513610125E-1,1.110944986E0,1.184123818E0
2.743507800E-1,-2.782909870E-1,1.713950038E-1,1.147338986E0,1.192983181E0
2.792917030E-1,-2.881419957E-1,8.671999723E-2,1.227790952E0,1.264126888E0
2.842326260E-1,-3.678590059E-1,3.886999935E-2,1.433429956E0,1.480389329E0
2.891734720E-1,-3.398270011E-1,4.145900160E-2,1.709867954E0,1.743803217E0
2.941143950E-1,-3.807370067E-1,1.320999954E-2,1.838966012E0,1.878012557E0
2.990553280E-1,-4.610649943E-1,-1.000280008E-1,1.766348958E0,1.828271088E0
3.039960200E-1,-4.868449867E-1,-1.752139926E-1,1.641355038E0,1.720977729E0
3.089369350E-1,-4.579659998E-1,-1.574749947E-1,1.545480013E0,1.619580100E0
3.138777810E-1,-4.160029888E-1,-1.691650003E-1,1.478502989E0,1.545201078E0
3.188187040E-1,-4.408949912E-1,-1.960610002E-1,1.331292987E0,1.416040016E0
3.237596360E-1,-4.656220078E-1,-1.696770042E-1,1.076246023E0,1.184862710E0
3.287003280E-1,-4.896039963E-1,-1.165340021E-1,7.402030230E-1,8.950937169E-1
3.336412410E-1,-4.456520081E-1,4.488999955E-3,3.637720048E-1,5.752876975E-1
3.385821640E-1,-4.144830108E-1,1.262010038E-1,1.456400007E-2,4.335146707E-1
3.435230110E-1,-3.161180019E-1,1.941850036E-1,-1.986500025E-1,4.208327818E-1
3.484637030E-1,-1.910459995E-1,2.225629985E-1,-3.442600071E-1,4.522696262E-1
3.534046260E-1,-1.212320030E-1,2.249899954E-1,-4.359149933E-1,5.053113673E-1
3.583455490E-1,-1.728399992E-1,1.063449979E-1,-4.872620106E-1,5.278325405E-1
3.632863710E-1,-2.788589895E-1,-1.609999985E-1,-5.253729820E-1,6.161981059E-1
3.682272940E-1,-3.299570084E-1,-4.000320137E-1,-6.455450058E-1,8.280251167E-1
3.731679780E-1,-3.268139958E-1,-5.968919992E-1,-8.615949750E-1,1.097922287E0
3.781089010E-1,-2.007510066E-1,-7.646759748E-1,-1.241940022E0,1.472224619E0
3.830498240E-1,5.872900039E-2,-7.941330075E-1,-1.664273977E0,1.844967263E0
3.879906600E-1,3.409929872E-1,-8.348349929E-1,-2.087878942E0,2.274305204E0
3.929315830E-1,6.571630239E-1,-9.274179935E-1,-2.390243053E0,2.646739358E0
3.978725060E-1,8.853049874E-1,-1.003430963E0,-2.476085901E0,2.814540817E0
4.028131880E-1,1.024382949E0,-1.076146007E0,-2.331826925E0,2.764935345E0
4.077541120E-1,1.130977035E0,-1.254251957E0,-2.120899916E0,2.711175663E0
4.126950350E-1,1.179119945E0,-1.292140961E0,-1.966027975E0,2.631580914E0
4.176358810E-1,1.186589003E0,-1.162765026E0,-1.703654051E0,2.379590951E0
4.225768040E-1,1.330067039E0,-1.029000998E0,-1.279608965E0,2.113130494E0
4.275174960E-1,1.517132998E0,-8.367630243E-1,-8.980709910E-1,1.951511311E0
4.324583990E-1,1.681352019E0,-6.820380092E-1,-6.132730246E-1,1.915260886E0
4.373993220E-1,1.718112946E0,-6.207759976E-1,-5.473120213E-1,1.907046245E0
4.423401790E-1,1.611999035E0,-7.342360020E-1,-5.098339915E-1,1.843250958E0
4.472808710E-1,1.567312956E0,-9.004939795E-1,-5.822839737E-1,1.899056064E0
4.522217790E-1,1.500615001E0,-9.697009921E-1,-7.101439834E-1,1.922620574E0
4.571627020E-1,1.466398954E0,-9.705610275E-1,-8.653699756E-1,1.959892802E0
4.621035480E-1,1.421154976E0,-9.566040039E-1,-9.121189713E-1,1.940807488E0
4.670444570E-1,1.351006985E0,-9.280459881E-1,-7.957710028E-1,1.822015565E0
4.719853800E-1,1.269341946E0,-8.709489703E-1,-6.799449921E-1,1.682886293E0
4.769260730E-1,1.205350995E0,-9.499930143E-1,-6.731479764E-1,1.675853796E0
4.818669910E-1,1.171787024E0,-9.867879748E-1,-6.807240248E-1,1.676371240E0
4.868079140E-1,1.074043036E0,-1.049057961E0,-5.395439863E-1,1.595367907E0
4.917487700E-1,8.032540083E-1,-1.272076964E0,-3.999559879E-1,1.556715002E0
4.966896930E-1,3.459289968E-1,-1.507426023E0,-4.327100143E-2,1.547214422E0
5.016303850E-1,-5.470199883E-2,-1.550640941E0,6.759700179E-2,1.553077265E0
5.065712840E-1,-3.717850149E-1,-1.565734029E0,1.119000022E-3,1.609269523E0
5.115122070E-1,-6.330419779E-1,-1.578870058E0,-2.159429938E-1,1.714702360E0
5.164530530E-1,-8.931859732E-1,-1.713413954E0,-4.469220042E-1,1.983256876E0
5.213939860E-1,-1.112566948E0,-1.858433962E0,-7.062320113E-1,2.278233012E0
5.263349090E-1,-1.169103026E0,-1.863821983E0,-9.121429920E-1,2.381730276E0
5.312756010E-1,-1.227028966E0,-1.837771058E0,-1.023960948E0,2.435466807E0
5.362165380E-1,-1.286427975E0,-1.795878053E0,-9.997659922E-1,2.424790084E0
5.411574620E-1,-1.293542027E0,-1.723086953E0,-8.536700010E-1,2.317548726E0
5.460983080E-1,-1.248440981E0,-1.620247006E0,-6.396449804E-1,2.143117110E0
5.510390050E-1,-1.137439013E0,-1.391644001E0,-2.896760106E-1,1.820536384E0
5.559799280E-1,-9.869710207E-1,-1.149050951E0,1.974299997E-1,1.527549832E0
5.609208560E-1,-7.834280133E-1,-9.183149934E-1,5.895580053E-1,1.343369093E0
5.658617020E-1,-5.395839810E-1,-7.553039789E-1,7.509909868E-1,1.193994320E0
5.708026540E-1,-3.245260119E-1,-6.604290009E-1,8.046470284E-1,1.090385454E0
5.757435780E-1,-1.384290010E-1,-5.279549956E-1,8.335419893E-1,9.963389552E-1
5.806842700E-1,-1.039799955E-2,-4.518199861E-1,8.373649716E-1,9.515406003E-1
5.856251930E-1,1.401710063E-1,-3.112249970E-1,6.943719983E-1,7.737321124E-1
5.905661160E-1,1.213060021E-1,-9.277000278E-2,8.951619864E-1,9.080949297E-1
5.955069620E-1,-2.142129987E-1,-3.523000050E-3,1.739868999E0,1.753009912E0
6.004478750E-1,-4.673349857E-1,2.618500032E-2,2.518826008E0,2.561946936E0
6.053885680E-1,-4.156279862E-1,-1.683720052E-1,2.645811081E0,2.683544677E0
6.103295000E-1,-2.900510132E-1,-4.790309966E-1,2.434062958E0,2.497651451E0
6.152704230E-1,-1.744800061E-1,-7.427549958E-1,2.306200981E0,2.429133842E0
6.202112690E-1,-1.919910014E-1,-1.084020972E0,2.290064096E0,2.540935965E0
6.251521920E-1,-4.805099964E-1,-1.393244028E0,2.195000887E0,2.643869829E0
6.300931150E-1,-9.861909747E-1,-1.493762970E0,1.762429953E0,2.511983238E0
6.350338070E-1,-1.507717013E0,-1.535089970E0,1.319746017E0,2.524171420E0
