"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.625800090E-1,6.506031550E1,2.547743160E1,2.001613445E1,3.750000000E1,NaN,NaN,1.275689709E-1,8.091999817E1,2.491907835E0,0.000000000E0
1.385276231E0,6.506143833E1,2.547799000E1,-6.338422189E1,-4.590000000E1,2.826339722E0,1.878000069E1,2.379000532E-1,1.360000038E1,2.560000038E1,5.000000000E0
1.866819308E0,6.506055000E1,2.547694167E1,-6.328400775E1,-4.580000000E1,1.913222551E0,8.779999733E0,2.488343445E-1,8.199999809E0,1.550000000E1,1.100000000E1
2.372586769E0,6.506053000E1,2.547671333E1,-6.328402575E1,-4.580000000E1,1.362984419E0,3.527799988E2,2.554251516E-1,6.300000191E0,1.589999962E1,1.200000000E1
2.862231308E0,6.506057667E1,2.547662667E1,-6.318405287E1,-4.570000000E1,7.478913665E-1,3.270000000E2,2.600670990E-1,5.199999809E0,1.670000076E1,1.300000000E1
3.389248000E0,6.506061667E1,2.547659833E1,-6.298407099E1,-4.550000000E1,5.430319309E-1,2.850799866E2,2.614465022E-1,4.500000000E0,1.710000038E1,1.400000000E1
3.877599616E0,6.506062833E1,2.547660833E1,-6.308407423E1,-4.560000000E1,6.289905310E-1,2.664899902E2,2.636820754E-1,4.199999809E0,1.839999962E1,1.200000000E1
4.899807693E0,6.506061167E1,2.547658167E1,-6.298407098E1,-4.550000000E1,5.595030785E-1,2.714100037E2,2.680738056E-1,4.099999905E0,2.000000000E1,1.800000000E1
5.888267308E0,6.506060833E1,2.547648833E1,-6.298408015E1,-4.550000000E1,4.627352655E-1,2.713699951E2,2.722062493E-1,4.099999905E0,2.620000076E1,2.400000000E1
6.884832308E0,6.506059000E1,2.547641167E1,-6.298408185E1,-4.550000000E1,4.287635982E-1,2.319299927E2,2.771277142E-1,4.000000000E0,3.279999924E1,2.200000000E1
7.885334077E0,6.506055833E1,2.547648500E1,-6.298406182E1,-4.550000000E1,6.372261047E-1,3.030100098E2,2.809566497E-1,3.900000095E0,2.700000000E1,2.500000000E1
8.898623693E0,6.506053167E1,2.547653667E1,-6.318404608E1,-4.570000000E1,4.694266617E-1,2.818999939E2,2.846884328E-1,3.900000095E0,3.070000076E1,2.400000000E1
9.873235924E0,6.506055000E1,2.547660333E1,-6.288404550E1,-4.540000000E1,6.063427925E-1,2.960799866E2,2.854915491E-1,3.700000048E0,2.250000000E1,2.600000000E1
1.086474062E1,6.506054833E1,2.547658667E1,-6.248404674E1,-4.500000000E1,8.930430412E-1,2.577099915E2,2.899455201E-1,3.700000048E0,1.929999924E1,2.500000000E1
1.186847416E1,6.506058833E1,2.547658167E1,-6.238406225E1,-4.490000000E1,7.818630338E-1,2.669599915E2,2.932805863E-1,3.299999952E0,1.710000038E1,2.700000000E1
1.322083046E1,6.506056000E1,2.547655833E1,-6.178405426E1,-4.430000000E1,9.841488600E-1,2.911700134E2,2.943619650E-1,2.599999905E0,1.469999981E1,2.900000000E1
1.419020300E1,6.506056333E1,2.547653667E1,-6.148405793E1,-4.400000000E1,9.805458188E-1,2.707300110E2,2.956259306E-1,2.299999952E0,1.119999981E1,2.900000000E1
1.520763200E1,6.506056500E1,2.547651000E1,-6.128406153E1,-4.380000000E1,9.666483402E-1,2.747300110E2,2.970805394E-1,2.099999905E0,1.119999981E1,2.800000000E1
1.621397316E1,6.506056833E1,2.547648000E1,-6.118406612E1,-4.370000000E1,1.236877441E0,2.756000061E2,2.983988597E-1,2.000000000E0,1.000000000E1,2.600000000E1
1.719761592E1,6.506056000E1,2.547646000E1,-6.108406524E1,-4.360000000E1,9.455447197E-1,2.795799866E2,3.004300345E-1,2.000000000E0,1.189999962E1,2.700000000E1
1.822421723E1,6.506056500E1,2.547641833E1,-5.988407176E1,-4.240000000E1,1.569902778E0,2.766900024E2,3.024702154E-1,2.000000000E0,9.800000191E0,2.700000000E1
1.923022339E1,6.506056667E1,2.547637500E1,-6.008407722E1,-4.260000000E1,1.675935507E0,2.747300110E2,3.052285911E-1,2.000000000E0,1.139999962E1,2.800000000E1
2.022318731E1,6.506056000E1,2.547631833E1,-5.888408105E1,-4.140000000E1,1.633728385E0,2.799200134E2,3.074244604E-1,2.000000000E0,1.239999962E1,2.800000000E1
2.123314954E1,6.506055833E1,2.547627167E1,-5.938408563E1,-4.190000000E1,1.815940022E0,2.751700134E2,3.094646419E-1,2.000000000E0,1.350000000E1,2.400000000E1
2.222458023E1,6.506056000E1,2.547622833E1,-5.968409109E1,-4.220000000E1,1.358866692E0,2.788500061E2,3.117807649E-1,2.000000000E0,1.970000076E1,2.700000000E1
2.322568216E1,6.506057000E1,2.547618500E1,-5.958409967E1,-4.210000000E1,1.452031374E0,2.796499939E2,3.131995144E-1,1.899999976E0,2.129999924E1,2.800000000E1
2.420148823E1,6.506057167E1,2.547615500E1,-5.898410364E1,-4.150000000E1,1.523577809E0,2.675499878E2,3.146182638E-1,1.899999976E0,2.200000000E1,2.400000000E1
2.520874277E1,6.506057000E1,2.547612500E1,-5.888410636E1,-4.140000000E1,1.570417523E0,2.678299866E2,3.159223514E-1,1.899999976E0,2.929999924E1,2.900000000E1
2.620041716E1,6.506056667E1,2.547609833E1,-5.898410809E1,-4.150000000E1,1.605933309E0,2.643299866E2,3.178123413E-1,1.899999976E0,2.429999924E1,2.600000000E1
2.721576585E1,6.506055333E1,2.547607333E1,-5.778410589E1,-4.030000000E1,1.656890869E0,2.611499939E2,3.197659444E-1,1.899999976E0,2.029999924E1,2.900000000E1
2.820701100E1,6.506055333E1,2.547603167E1,-5.818411054E1,-4.070000000E1,1.639390230E0,2.591000061E2,3.211451328E-1,1.899999976E0,2.320000076E1,3.100000000E1
2.920949254E1,6.506055667E1,2.547600333E1,-5.848411495E1,-4.100000000E1,1.598212481E0,2.745899963E2,3.227965907E-1,1.899999976E0,1.460000038E1,3.100000000E1
3.021720708E1,6.506055833E1,2.547596833E1,-5.888411948E1,-4.140000000E1,1.588432789E0,2.766600037E2,3.242153408E-1,1.799999952E0,1.200000000E1,2.900000000E1
3.121407346E1,6.506056000E1,2.547593833E1,-5.918412345E1,-4.170000000E1,1.542107821E0,2.768200073E2,3.255566551E-1,1.799999952E0,1.289999962E1,3.100000000E1
3.219521416E1,6.506056167E1,2.547591000E1,-5.918412724E1,-4.170000000E1,1.473134995E0,2.640700073E2,3.264359911E-1,1.799999952E0,1.200000000E1,2.900000000E1
3.322109562E1,6.506056333E1,2.547589167E1,-5.908412991E1,-4.160000000E1,1.372764111E0,2.664899902E2,3.275455943E-1,1.799999952E0,1.250000000E1,3.200000000E1
3.421928985E1,6.506056500E1,2.547586833E1,-5.908413314E1,-4.160000000E1,1.301732540E0,2.838200073E2,3.285014609E-1,1.799999952E0,1.339999962E1,3.200000000E1
3.521533077E1,6.506056667E1,2.547584833E1,-5.908413599E1,-4.160000000E1,1.242024779E0,2.767500000E2,3.294391899E-1,1.799999952E0,1.419999981E1,3.100000000E1
3.619423754E1,6.506056667E1,2.547582833E1,-5.918413823E1,-4.170000000E1,1.178199172E0,2.812399902E2,3.307031554E-1,1.799999952E0,2.039999962E1,3.200000000E1
3.722604123E1,6.506056500E1,2.547580167E1,-5.928414058E1,-4.180000000E1,1.113344193E0,2.902099915E2,3.315824913E-1,1.799999952E0,2.079999924E1,3.200000000E1
3.822943285E1,6.506056333E1,2.547578333E1,-5.928414200E1,-4.180000000E1,1.018635273E0,2.824400024E2,3.324191058E-1,1.799999952E0,1.950000000E1,3.200000000E1
3.923497285E1,6.506055833E1,2.547577000E1,-5.928414161E1,-4.180000000E1,9.218674898E-1,2.503200073E2,3.332557204E-1,1.700000048E0,2.000000000E1,3.200000000E1
4.020000270E1,6.506055333E1,2.547575667E1,-5.948414123E1,-4.200000000E1,7.983341813E-1,2.513999939E2,3.339830251E-1,1.700000048E0,2.029999924E1,3.200000000E1
4.120815939E1,6.506055167E1,2.547574167E1,-5.968414228E1,-4.220000000E1,6.974486113E-1,2.603999939E2,3.345605751E-1,1.700000048E0,2.039999962E1,3.200000000E1
4.221486116E1,6.506055000E1,2.547573000E1,-5.968414296E1,-4.220000000E1,6.207550168E-1,2.765199890E2,3.351381252E-1,1.700000048E0,2.150000000E1,3.200000000E1
4.322920485E1,6.506054833E1,2.547571833E1,-5.978414363E1,-4.230000000E1,5.574441552E-1,2.632999878E2,3.359195665E-1,1.700000048E0,2.250000000E1,3.200000000E1
4.422309323E1,6.506054833E1,2.547570167E1,-5.988414549E1,-4.240000000E1,4.992805421E-1,2.734599915E2,3.371467515E-1,1.700000048E0,2.289999962E1,3.200000000E1
4.522699777E1,6.506054333E1,2.547567833E1,-5.998414622E1,-4.250000000E1,4.627352655E-1,2.645299988E2,3.382563555E-1,1.799999952E0,2.129999924E1,3.200000000E1
4.622041223E1,6.506054167E1,2.547565500E1,-5.998414820E1,-4.250000000E1,4.364844561E-1,2.612600098E2,3.397526159E-1,1.700000048E0,2.100000000E1,3.200000000E1
4.723205354E1,6.506054000E1,2.547562333E1,-6.008415111E1,-4.260000000E1,4.529555440E-1,2.599200134E2,3.413425952E-1,1.700000048E0,1.920000076E1,3.200000000E1
4.822308639E1,6.506053333E1,2.547559333E1,-5.918415196E1,-4.170000000E1,5.430319309E-1,2.392700043E2,3.430249607E-1,1.799999952E0,2.000000000E1,3.200000000E1
4.919727623E1,6.506053000E1,2.547555833E1,-5.948415461E1,-4.200000000E1,6.876688600E-1,2.463699951E2,3.449095555E-1,1.799999952E0,1.989999962E1,3.200000000E1
5.023069962E1,6.506052833E1,2.547551833E1,-5.968415845E1,-4.220000000E1,8.729689121E-1,2.595199890E2,3.469748366E-1,1.899999976E0,2.039999962E1,3.200000000E1
5.122811754E1,6.506053167E1,2.547547500E1,-5.998416454E1,-4.250000000E1,1.069592834E0,2.653399963E2,3.494043849E-1,1.899999976E0,2.110000038E1,3.200000000E1
5.220023623E1,6.506053000E1,2.547542333E1,-5.958416968E1,-4.210000000E1,1.286290884E0,2.717900085E2,3.516522734E-1,1.899999976E0,2.139999962E1,3.200000000E1
5.320820277E1,6.506054000E1,2.547538167E1,-5.978417808E1,-4.230000000E1,1.487032533E0,2.733200073E2,3.534591101E-1,1.899999976E0,2.170000076E1,3.200000000E1
