"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.919869300E-2,9.847419858E-1,-1.134124994E0,-2.770781994E0,3.151696232E0
5.419869400E-2,1.007727027E0,-1.179481983E0,-2.742980003E0,3.151290340E0
5.914300100E-2,1.117692947E0,-1.141111970E0,-2.773646116E0,3.200700991E0
6.408276900E-2,1.284986973E0,-1.082502007E0,-2.827565908E0,3.289092745E0
6.902276900E-2,1.290573001E0,-9.797800183E-1,-2.658207893E0,3.113136161E0
7.396269500E-2,1.258013010E0,-9.325760007E-1,-2.562819958E0,3.003388231E0
7.890269500E-2,1.197518945E0,-8.754000068E-1,-2.393608093E0,2.815978782E0
8.384269500E-2,1.189211965E0,-8.725370169E-1,-2.349342108E0,2.773978061E0
8.878250200E-2,1.172471046E0,-8.575199842E-1,-2.325980902E0,2.742301229E0
9.372250200E-2,1.130521059E0,-7.999910116E-1,-2.246473074E0,2.639072708E0
9.866250200E-2,1.116042972E0,-7.845349908E-1,-2.213464022E0,2.600090391E0
1.036024150E-1,1.124009013E0,-7.862799764E-1,-2.213470936E0,2.604051852E0
1.085424150E-1,1.100559950E0,-7.486349940E-1,-2.178003073E0,2.552525013E0
1.134824150E-1,9.731439948E-1,-7.002390027E-1,-2.018501043E0,2.347698949E0
1.184224340E-1,8.147199750E-1,-6.254929900E-1,-1.825657010E0,2.094763384E0
1.233622040E-1,9.525579810E-1,-5.045229793E-1,-1.532289982E0,1.873452090E0
1.283022080E-1,1.192546964E0,-3.633170128E-1,-1.245319963E0,1.762097989E0
1.332422080E-1,1.377514005E0,-1.790200025E-1,-8.222590089E-1,1.614218967E0
1.381821310E-1,1.491806984E0,-3.364599869E-2,-2.909910083E-1,1.520294675E0
1.431219050E-1,1.497187018E0,8.434800059E-2,1.595360041E-1,1.508023637E0
1.480619050E-1,1.597262979E0,2.572749853E-1,5.697330236E-1,1.715236182E0
1.530019050E-1,1.807885051E0,4.573430121E-1,8.179979920E-1,2.036352549E0
1.579419140E-1,2.034584045E0,6.715809703E-1,1.013362050E0,2.370117272E0
1.628818370E-1,2.320291042E0,8.166520000E-1,1.293143034E0,2.779008801E0
1.678218270E-1,2.554528952E0,9.890760183E-1,1.397583008E0,3.075244348E0
1.727615960E-1,2.765273094E0,1.147897959E0,1.394986033E0,3.303088107E0
1.777015190E-1,2.856642008E0,1.171215057E0,1.434741974E0,3.404501844E0
1.826416300E-1,2.857078075E0,1.166494966E0,1.408607006E0,3.392311797E0
1.875816300E-1,2.764899969E0,1.066627979E0,1.397433996E0,3.276459806E0
